id,domain,kind,item,current_state,target_state,disposition,owner,priority,evidence_or_gap
MOD-002,ORIGIN modules,software module,partition_coordinator,Not present as clean ORIGIN module,Single-writer partition order,BUILD,ORIGIN,P1,Unit/property/golden/replay tests required
MOD-003,ORIGIN modules,software module,clock_watermark,Not present as clean ORIGIN module,Causal clocks/watermarks,BUILD,ORIGIN,P1,Unit/property/golden/replay tests required
MOD-004,ORIGIN modules,software module,instrument_math,Not present as clean ORIGIN module,Integer tick/step algebra,BUILD,ORIGIN,P0,Unit/property/golden/replay tests required
MOD-005,ORIGIN modules,software module,feature_primitives,Not present as clean ORIGIN module,Causal normalized features,BUILD,ORIGIN,P1,Unit/property/golden/replay tests required
MOD-006,ORIGIN modules,software module,typed_level_registry,Not present as clean ORIGIN module,DC/fractal/rolling/equal/session levels,BUILD,ORIGIN,P1,Unit/property/golden/replay tests required
MOD-007,ORIGIN modules,software module,structure_state,Not present as clean ORIGIN module,Protected level and BOS/CHOCH state,BUILD,ORIGIN,P1,Unit/property/golden/replay tests required
MOD-008,ORIGIN modules,software module,fvg_registry,Not present as clean ORIGIN module,FVG lifecycle,BUILD,ORIGIN,P1,Unit/property/golden/replay tests required
MOD-009,ORIGIN modules,software module,order_block_registry,Not present as clean ORIGIN module,OB causal lifecycle,BUILD,ORIGIN,P1,Unit/property/golden/replay tests required
MOD-010,ORIGIN modules,software module,excursion_reclaim_registry,Not present as clean ORIGIN module,Frozen-level reclaim lifecycle,BUILD,ORIGIN,P1,Unit/property/golden/replay tests required
MOD-011,ORIGIN modules,software module,flow_atoms,Not present as clean ORIGIN module,OFI/TFI/tilt/liquidation/exhaustion,BUILD,ORIGIN,P1,Unit/property/golden/replay tests required
MOD-012,ORIGIN modules,software module,reaction_engine,Not present as clean ORIGIN module,Location→geometry evaluation,BUILD,ORIGIN,P1,Unit/property/golden/replay tests required
MOD-013,ORIGIN modules,software module,capsule_host,Not present as clean ORIGIN module,Pure isolated hypothesis runtime,BUILD,ORIGIN,P1,Unit/property/golden/replay tests required
MOD-014,ORIGIN modules,software module,opportunity_clusterer,Not present as clean ORIGIN module,Correlated hypothesis identity,BUILD,ORIGIN,P1,Unit/property/golden/replay tests required
MOD-015,ORIGIN modules,software module,candidate_publisher,Not present as clean ORIGIN module,Immutable candidate/withdrawal,BUILD,ORIGIN,P1,Unit/property/golden/replay tests required
MOD-016,ORIGIN modules,software module,state_journal,Not present as clean ORIGIN module,Append transitions/provenance,BUILD,ORIGIN,P0,Unit/property/golden/replay tests required
MOD-017,ORIGIN modules,software module,checkpoint_restore,Not present as clean ORIGIN module,Versioned deterministic state,BUILD,ORIGIN,P0,Unit/property/golden/replay tests required
MOD-018,ORIGIN modules,software module,replay_adapter,Not present as clean ORIGIN module,Same live/replay transitions,BUILD,ORIGIN,P0,Unit/property/golden/replay tests required
MOD-019,ORIGIN modules,software module,evidence_telemetry,Not present as clean ORIGIN module,Funnel/latency/reason facts,BUILD,ORIGIN,P1,Unit/property/golden/replay tests required
MOD-020,ORIGIN modules,software module,health_readface,Not present as clean ORIGIN module,Read-only readiness/attestation,BUILD,ORIGIN,P1,Unit/property/golden/replay tests required
CON-001,Contracts,schema,market_event.v2,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,E00,P1,See Contract Catalog; authoritative implementation required
CON-002,Contracts,schema,market_state.v2,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,E01,P0,See Contract Catalog; authoritative implementation required
CON-003,Contracts,schema,feature_snapshot.v2,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,ORIGIN/E02,P1,See Contract Catalog; authoritative implementation required
CON-004,Contracts,schema,structure_atom.v2,v1 exists; v2 target,Signed schema + invariant/golden/compatibility tests,REPAIR,ORIGIN,P0,See Contract Catalog; authoritative implementation required
CON-005,Contracts,schema,structure_transition.v2,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,ORIGIN,P1,See Contract Catalog; authoritative implementation required
CON-006,Contracts,schema,reaction_event.v1,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,ORIGIN,P1,See Contract Catalog; authoritative implementation required
CON-007,Contracts,schema,edge_candidate.v2,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,ORIGIN,P0,See Contract Catalog; authoritative implementation required
CON-008,Contracts,schema,edge_candidate_transition.v1,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,ORIGIN,P1,See Contract Catalog; authoritative implementation required
CON-009,Contracts,schema,decision.v2,v1 exists,Signed schema + invariant/golden/compatibility tests,REPAIR,E07,P1,See Contract Catalog; authoritative implementation required
CON-010,Contracts,schema,risk_decision.v2,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,E08,P0,See Contract Catalog; authoritative implementation required
CON-011,Contracts,schema,risk_reservation.v1,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,E08,P1,See Contract Catalog; authoritative implementation required
CON-012,Contracts,schema,execution_authorization.v2,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,E08,P0,See Contract Catalog; authoritative implementation required
CON-013,Contracts,schema,emergency_exit_authorization.v1,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,E08/E09 policy,P1,See Contract Catalog; authoritative implementation required
CON-014,Contracts,schema,execution_cmd.v2,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,E09,P1,See Contract Catalog; authoritative implementation required
CON-015,Contracts,schema,order_event.v2,v1 exists,Signed schema + invariant/golden/compatibility tests,REPAIR,E09,P1,See Contract Catalog; authoritative implementation required
CON-016,Contracts,schema,fill.v3,v1/v2 exist; v3 target,Signed schema + invariant/golden/compatibility tests,REPAIR,E09,P0,See Contract Catalog; authoritative implementation required
CON-017,Contracts,schema,venue_account_event.v2,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,E09,P1,See Contract Catalog; authoritative implementation required
CON-018,Contracts,schema,position_event.v2,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,E09,P1,See Contract Catalog; authoritative implementation required
CON-019,Contracts,schema,protection_event.v2,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,E09,P1,See Contract Catalog; authoritative implementation required
CON-020,Contracts,schema,outcome.v2,v1 exists,Signed schema + invariant/golden/compatibility tests,REPAIR,E10,P1,See Contract Catalog; authoritative implementation required
CON-021,Contracts,schema,trial_registration.v1,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,Governance,P1,See Contract Catalog; authoritative implementation required
CON-022,Contracts,schema,divergence_record.v1,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,Evidence,P1,See Contract Catalog; authoritative implementation required
CON-023,Contracts,schema,producer_lease.v1,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,Platform,P0,See Contract Catalog; authoritative implementation required
CON-024,Contracts,schema,engine_attestation.v1,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,Every producer,P1,See Contract Catalog; authoritative implementation required
CON-025,Contracts,schema,service_heartbeat.v1,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,Every producer,P1,See Contract Catalog; authoritative implementation required
CON-026,Contracts,schema,contract_bundle.manifest.v1,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,Contracts,P1,See Contract Catalog; authoritative implementation required
CON-027,Contracts,schema,activation_manifest.v1,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,Governance,P0,See Contract Catalog; authoritative implementation required
CON-028,Contracts,schema,compatibility_manifest.v1,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,Contracts,P1,See Contract Catalog; authoritative implementation required
CON-029,Contracts,schema,quarantine_record.v1,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,Boundary owner,P1,See Contract Catalog; authoritative implementation required
CON-030,Contracts,schema,replay_receipt.v1,No verified target schema,Signed schema + invariant/golden/compatibility tests,BUILD,Replay,P1,See Contract Catalog; authoritative implementation required
TOP-001,Topics,logical topic,market.events.v2,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,E00,P0,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-002,Topics,logical topic,market.state.v2,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,E01,P0,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-003,Topics,logical topic,features.v2,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,ORIGIN/E02,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-004,Topics,logical topic,structures.v2,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,ORIGIN,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-005,Topics,logical topic,structure.lifecycle.v2,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,ORIGIN,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-006,Topics,logical topic,edge.candidates.v2.control,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,Legacy bridge,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-007,Topics,logical topic,edge.candidates.v2.treatment,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,ORIGIN,P0,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-008,Topics,logical topic,edge.divergence.v1,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,Comparator,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-009,Topics,logical topic,edge.authority.v1,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,Authority router,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-010,Topics,logical topic,decisions.v2,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,E07,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-011,Topics,logical topic,risk.decisions.v2,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,E08,P0,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-012,Topics,logical topic,risk.reservations.v1,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,E08,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-013,Topics,logical topic,execution.authorizations.v2,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,E08,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-014,Topics,logical topic,execution.commands.v2,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,E09,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-015,Topics,logical topic,execution.orders.v2,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,E09,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-016,Topics,logical topic,execution.fills.v3,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,E09,P0,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-017,Topics,logical topic,venue.account.events.v2,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,VGP,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-018,Topics,logical topic,positions.v2,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,Reconciler,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-019,Topics,logical topic,protections.v2,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,Protection owner,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-020,Topics,logical topic,outcomes.v2,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,E10,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-021,Topics,logical topic,producer.leases.v1,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,Lease coordinator,P0,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-022,Topics,logical topic,runtime.lifecycle.v2,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,Every service,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-023,Topics,logical topic,quarantine.v1.<source>,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,Boundary,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-024,Topics,logical topic,dlq.v1.<topic>,Not present under this exact target contract/binding,File-ledger binding first; optional certified JetStream binding,BUILD,Transport,P1,"Transport-neutral ownership, retention, checkpoint and ACL needed"
TOP-025,Topics,current file-ledger topic,market.events,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
TOP-026,Topics,current file-ledger topic,context.packets,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
TOP-027,Topics,current file-ledger topic,candidates,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
TOP-028,Topics,current file-ledger topic,candidates.shadow,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Current owner TBD,P1,Do not assume NATS deployment
TOP-029,Topics,current file-ledger topic,decisions,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
TOP-030,Topics,current file-ledger topic,refusals,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
TOP-031,Topics,current file-ledger topic,intents,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
TOP-032,Topics,current file-ledger topic,orders,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
TOP-033,Topics,current file-ledger topic,exits.fast,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
TOP-034,Topics,current file-ledger topic,fills,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
TOP-035,Topics,current file-ledger topic,live_placements,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
TOP-036,Topics,current file-ledger topic,live_fills,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
TOP-037,Topics,current file-ledger topic,outcomes,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
TOP-038,Topics,current file-ledger topic,exec_journal.jsonl,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
TOP-039,Topics,current file-ledger topic,judged_live,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
TOP-040,Topics,current file-ledger topic,live_outcomes,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
TOP-041,Topics,current file-ledger topic,structure_atom,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
TOP-042,Topics,current file-ledger topic,detector_route_heartbeat,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
TOP-043,Topics,current file-ledger topic,judge_trace,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Current owner TBD,P1,Do not assume NATS deployment
TOP-044,Topics,current file-ledger topic,money_path_result,Reported/verified in current source documentation,Inventory writer/reader/retention and bridge or retirement,REPAIR,Estate owner,P1,Do not assume NATS deployment
CFG-001,Configuration,current config,active_matrix.v1.json,Present/reported in contracts/deployment,"Pin, hash, assign owner; bridge or supersede",REPAIR,Config owner TBD,P0,Same 1.37.0 label has manifest/config drift
CFG-002,Configuration,current config,geometry.v1.json,Present/reported in contracts/deployment,"Pin, hash, assign owner; bridge or supersede",REPAIR,Config owner TBD,P1,Same 1.37.0 label has manifest/config drift
CFG-003,Configuration,current config,regimes.v1.json,Present/reported in contracts/deployment,"Pin, hash, assign owner; bridge or supersede",REPAIR,Config owner TBD,P1,Same 1.37.0 label has manifest/config drift
CFG-004,Configuration,current config,symbols.v1.json,Present/reported in contracts/deployment,"Pin, hash, assign owner; bridge or supersede",REPAIR,Config owner TBD,P1,Same 1.37.0 label has manifest/config drift
CFG-005,Configuration,current config,fee_model.v1,Present/reported in contracts/deployment,"Pin, hash, assign owner; bridge or supersede",REPAIR,Config owner TBD,P1,Same 1.37.0 label has manifest/config drift
CFG-006,Configuration,current config,Engine limit_config.v1,Present/reported in contracts/deployment,"Pin, hash, assign owner; bridge or supersede",REPAIR,Config owner TBD,P0,Same 1.37.0 label has manifest/config drift
CFG-007,Configuration,current config,Executor limit_config.v1,Present/reported in contracts/deployment,"Pin, hash, assign owner; bridge or supersede",REPAIR,Config owner TBD,P0,Same 1.37.0 label has manifest/config drift
CFG-008,Configuration,current config,latency_budgets.v1,Present/reported in contracts/deployment,"Pin, hash, assign owner; bridge or supersede",REPAIR,Config owner TBD,P1,Same 1.37.0 label has manifest/config drift
CFG-009,Configuration,current config,staleness_bounds.v1,Present/reported in contracts/deployment,"Pin, hash, assign owner; bridge or supersede",REPAIR,Config owner TBD,P1,Same 1.37.0 label has manifest/config drift
CFG-010,Configuration,current config,bus_map.v1.json,Present/reported in contracts/deployment,"Pin, hash, assign owner; bridge or supersede",REPAIR,Config owner TBD,P1,Same 1.37.0 label has manifest/config drift
CFG-011,Configuration,current config,run_stack.sh environment flags,Present/reported in contracts/deployment,"Pin, hash, assign owner; bridge or supersede",REPAIR,Config owner TBD,P1,Same 1.37.0 label has manifest/config drift
CFG-012,Configuration,current config,live.env,Present/reported in contracts/deployment,"Pin, hash, assign owner; bridge or supersede",RETIRE,Config owner TBD,P0,Same 1.37.0 label has manifest/config drift
CFG-013,Configuration,target config,capsules.v1.yaml,Absent/unverified,"Signed canonical artifact with schema, owner and change control",BUILD,ORIGIN,P0,No scattered semantic environment booleans
CFG-014,Configuration,target config,geometry.v2.yaml,Absent/unverified,"Signed canonical artifact with schema, owner and change control",BUILD,ORIGIN,P0,No scattered semantic environment booleans
CFG-015,Configuration,target config,lifecycle.v1.yaml,Absent/unverified,"Signed canonical artifact with schema, owner and change control",BUILD,ORIGIN,P1,No scattered semantic environment booleans
CFG-016,Configuration,target config,regime_eligibility.v2.yaml,Absent/unverified,"Signed canonical artifact with schema, owner and change control",BUILD,E07,P1,No scattered semantic environment booleans
CFG-017,Configuration,target config,symbols.v2.yaml,Absent/unverified,"Signed canonical artifact with schema, owner and change control",BUILD,Instrument owner,P1,No scattered semantic environment booleans
CFG-018,Configuration,target config,staleness_bounds.v2.yaml,Absent/unverified,"Signed canonical artifact with schema, owner and change control",BUILD,Data/Risk,P1,No scattered semantic environment booleans
CFG-019,Configuration,target config,latency_budgets.v2.yaml,Absent/unverified,"Signed canonical artifact with schema, owner and change control",BUILD,SRE,P1,No scattered semantic environment booleans
CFG-020,Configuration,target config,risk_policy.v2.yaml,Absent/unverified,"Signed canonical artifact with schema, owner and change control",BUILD,E08,P0,No scattered semantic environment booleans
CFG-021,Configuration,target config,exit_policy.v2.yaml,Absent/unverified,"Signed canonical artifact with schema, owner and change control",BUILD,E08/E09,P0,No scattered semantic environment booleans
CFG-022,Configuration,target config,transport_bindings.v1.yaml,Absent/unverified,"Signed canonical artifact with schema, owner and change control",BUILD,Platform,P1,No scattered semantic environment booleans
CFG-023,Configuration,target config,activation_manifest.v1.json,Absent/unverified,"Signed canonical artifact with schema, owner and change control",BUILD,Governance,P0,No scattered semantic environment booleans
CFG-024,Configuration,target config,treatment_manifest.v1.json,Absent/unverified,"Signed canonical artifact with schema, owner and change control",BUILD,Experiment owner,P1,No scattered semantic environment booleans
CFG-025,Configuration,target config,rollback_manifest.v1.json,Absent/unverified,"Signed canonical artifact with schema, owner and change control",BUILD,Operations,P1,No scattered semantic environment booleans
CFG-026,Configuration,target config,secret_allowlist.v1.yaml,Absent/unverified,"Signed canonical artifact with schema, owner and change control",BUILD,Security,P0,No scattered semantic environment booleans
CFG-027,Configuration,target config,compatibility_manifest.v1.json,Absent/unverified,"Signed canonical artifact with schema, owner and change control",BUILD,Contracts,P1,No scattered semantic environment booleans
DAT-001,Storage & data,data/store,Raw venue-byte ledger,Current file ledger is authoritative replay source,Sealed hash-chained raw segments + archive,RETAIN,Data,P0,"Owner, provenance, durability, retention and restore proof required"
DAT-002,Storage & data,data/store,Normalized market-event ledger,Current topics exist,v2 event journal with offsets/quality,REPAIR,Data,P0,"Owner, provenance, durability, retention and restore proof required"
