id,phase,workstream,task,owner,priority,dependency,acceptance_evidence,gate,initial_status
CHK-0024,−1,Processes,Implement edge-authority-router,Platform/Governance,P0,SRV-007,Target exists as specified: Single selected candidate writer. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase −1 inventory closure,NOT_STARTED
CHK-0025,−1,Processes,"Audit, repair, and certify intelligence-gateway",Intelligence,P1,SRV-008,"Current behavior is reproduced, gap is closed to: Treatment decision producer only. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0026,−1,Processes,Drain and retire shadowexec,Execution,P1,SRV-009,"No active producer, consumer, credential, config, runbook or deployment depends on the item; retained evidence is archived and replacement 'Offline/test harness only or remove' is proven.",Phase −1 inventory closure,NOT_STARTED
CHK-0027,−1,Processes,Register deferment and isolate crossvenueobs,Data/Execution,P2,SRV-010,"Deferred scope, rationale, owner, re-entry gate and dependency isolation are recorded; first-wave artifacts do not depend on it. Target: Read-only optional feature source.",Phase −1 inventory closure,NOT_STARTED
CHK-0028,−1,Processes,Certify and attest kronos,Forecast,P2,SRV-011,Pinned implementation is independently verified against: Treatment-only. No unverified inherited behavior enters authority.,Phase −1 inventory closure,NOT_STARTED
CHK-0029,−1,Processes,"Audit, repair, and certify databankresolve",Data,P2,SRV-012,"Current behavior is reproduced, gap is closed to: Projection/reconciliation maintenance. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0030,−1,Processes,"Audit, repair, and certify mcp",Evidence,P1,SRV-013,"Current behavior is reproduced, gap is closed to: Strict read-only evidence surface. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0031,−1,Processes,"Audit, repair, and certify gui",Operations,P1,SRV-014,"Current behavior is reproduced, gap is closed to: Read-only by default; controls separately signed. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0032,−1,Processes,"Audit, repair, and certify prometheus",SRE,P1,SRV-015,"Current behavior is reproduced, gap is closed to: Certified metrics dependency or honest local fallback. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0033,−1,Processes,Certify and attest venuegateway-$lane,Execution,P0,SRV-016,Pinned implementation is independently verified against: E09 VGP sole raw-credential role. No unverified inherited behavior enters authority.,Phase −1 inventory closure,NOT_STARTED
CHK-0034,−1,Processes,"Audit, repair, and certify exposurefeed-$lane",Risk/Execution,P0,SRV-017,"Current behavior is reproduced, gap is closed to: Authoritative account exposure input to reconciler/risk. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0035,−1,Processes,"Audit, repair, and certify capskeeper-$lane",Risk,P1,SRV-018,"Current behavior is reproduced, gap is closed to: E08 policy projection only. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0036,−1,Processes,"Audit, repair, and certify liveoutcomes-$lane",Outcomes,P1,SRV-019,"Current behavior is reproduced, gap is closed to: E10 outcome.v2 publisher from strict v3 facts. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0037,−1,Processes,"Audit, repair, and certify liveexec-$lane",Risk/Execution,P0,SRV-020,"Current behavior is reproduced, gap is closed to: Transitional orchestrator with contract-separated E07/E08/E09 ownership. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0038,−1,Processes,"Audit, repair, and certify fillrecorder-$lane",Execution,P0,SRV-021,"Current behavior is reproduced, gap is closed to: Strict fill.v3 authoritative normalizer/recorder. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0039,−1,Processes,"Audit, repair, and certify reconciler-$lane",Execution,P0,SRV-022,"Current behavior is reproduced, gap is closed to: Authoritative position/protection reconciliation. Before/after evidence and rollback are attached.",Phase −1 inventory closure,NOT_STARTED
CHK-0040,−1,Processes,Certify and attest ttfexport-$lane,Execution evidence,P2,SRV-023,Pinned implementation is independently verified against: Evidence projection only. No unverified inherited behavior enters authority.,Phase −1 inventory closure,NOT_STARTED
CHK-0041,−1,Processes,Implement lease-coordinator,Platform,P0,SRV-024,Target exists as specified: Monotonic producer fencing per authority scope. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase −1 inventory closure,NOT_STARTED
CHK-0042,−1,Processes,Implement replay-runner,ORIGIN,P0,SRV-025,Target exists as specified: Same-code deterministic CLI/batch runner. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase −1 inventory closure,NOT_STARTED
CHK-0043,2,ORIGIN modules,Implement contract_ingress,ORIGIN,P0,MOD-001,Target exists as specified: Contract gate. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0044,2,ORIGIN modules,Implement partition_coordinator,ORIGIN,P1,MOD-002,Target exists as specified: Single-writer partition order. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0045,2,ORIGIN modules,Implement clock_watermark,ORIGIN,P1,MOD-003,Target exists as specified: Causal clocks/watermarks. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0046,2,ORIGIN modules,Implement instrument_math,ORIGIN,P0,MOD-004,Target exists as specified: Integer tick/step algebra. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0047,2,ORIGIN modules,Implement feature_primitives,ORIGIN,P1,MOD-005,Target exists as specified: Causal normalized features. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0048,2,ORIGIN modules,Implement typed_level_registry,ORIGIN,P1,MOD-006,Target exists as specified: DC/fractal/rolling/equal/session levels. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0049,2,ORIGIN modules,Implement structure_state,ORIGIN,P1,MOD-007,Target exists as specified: Protected level and BOS/CHOCH state. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0050,2,ORIGIN modules,Implement fvg_registry,ORIGIN,P1,MOD-008,Target exists as specified: FVG lifecycle. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0051,2,ORIGIN modules,Implement order_block_registry,ORIGIN,P1,MOD-009,Target exists as specified: OB causal lifecycle. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0052,2,ORIGIN modules,Implement excursion_reclaim_registry,ORIGIN,P1,MOD-010,Target exists as specified: Frozen-level reclaim lifecycle. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0053,2,ORIGIN modules,Implement flow_atoms,ORIGIN,P1,MOD-011,Target exists as specified: OFI/TFI/tilt/liquidation/exhaustion. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0054,2,ORIGIN modules,Implement reaction_engine,ORIGIN,P1,MOD-012,Target exists as specified: Location→geometry evaluation. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0055,2,ORIGIN modules,Implement capsule_host,ORIGIN,P1,MOD-013,Target exists as specified: Pure isolated hypothesis runtime. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0056,2,ORIGIN modules,Implement opportunity_clusterer,ORIGIN,P1,MOD-014,Target exists as specified: Correlated hypothesis identity. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0057,2,ORIGIN modules,Implement candidate_publisher,ORIGIN,P1,MOD-015,Target exists as specified: Immutable candidate/withdrawal. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0058,2,ORIGIN modules,Implement state_journal,ORIGIN,P0,MOD-016,Target exists as specified: Append transitions/provenance. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0059,2,ORIGIN modules,Implement checkpoint_restore,ORIGIN,P0,MOD-017,Target exists as specified: Versioned deterministic state. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0060,2,ORIGIN modules,Implement replay_adapter,ORIGIN,P0,MOD-018,Target exists as specified: Same live/replay transitions. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0061,2,ORIGIN modules,Implement evidence_telemetry,ORIGIN,P1,MOD-019,Target exists as specified: Funnel/latency/reason facts. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0062,2,ORIGIN modules,Implement health_readface,ORIGIN,P1,MOD-020,Target exists as specified: Read-only readiness/attestation. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 2 inventory closure,NOT_STARTED
CHK-0063,0,Contracts,Implement market_event.v2,E00,P1,CON-001,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0064,0,Contracts,Implement market_state.v2,E01,P0,CON-002,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0065,0,Contracts,Implement feature_snapshot.v2,ORIGIN/E02,P1,CON-003,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0066,0,Contracts,"Audit, repair, and certify structure_atom.v2",ORIGIN,P0,CON-004,"Current behavior is reproduced, gap is closed to: Signed schema + invariant/golden/compatibility tests. Before/after evidence and rollback are attached.",Phase 0 inventory closure,NOT_STARTED
CHK-0067,0,Contracts,Implement structure_transition.v2,ORIGIN,P1,CON-005,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0068,0,Contracts,Implement reaction_event.v1,ORIGIN,P1,CON-006,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0069,0,Contracts,Implement edge_candidate.v2,ORIGIN,P0,CON-007,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0070,0,Contracts,Implement edge_candidate_transition.v1,ORIGIN,P1,CON-008,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0071,0,Contracts,"Audit, repair, and certify decision.v2",E07,P1,CON-009,"Current behavior is reproduced, gap is closed to: Signed schema + invariant/golden/compatibility tests. Before/after evidence and rollback are attached.",Phase 0 inventory closure,NOT_STARTED
CHK-0072,0,Contracts,Implement risk_decision.v2,E08,P0,CON-010,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0073,0,Contracts,Implement risk_reservation.v1,E08,P1,CON-011,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0074,0,Contracts,Implement execution_authorization.v2,E08,P0,CON-012,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0075,0,Contracts,Implement emergency_exit_authorization.v1,E08/E09 policy,P1,CON-013,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0076,0,Contracts,Implement execution_cmd.v2,E09,P1,CON-014,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0077,0,Contracts,"Audit, repair, and certify order_event.v2",E09,P1,CON-015,"Current behavior is reproduced, gap is closed to: Signed schema + invariant/golden/compatibility tests. Before/after evidence and rollback are attached.",Phase 0 inventory closure,NOT_STARTED
CHK-0078,0,Contracts,"Audit, repair, and certify fill.v3",E09,P0,CON-016,"Current behavior is reproduced, gap is closed to: Signed schema + invariant/golden/compatibility tests. Before/after evidence and rollback are attached.",Phase 0 inventory closure,NOT_STARTED
CHK-0079,0,Contracts,Implement venue_account_event.v2,E09,P1,CON-017,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0080,0,Contracts,Implement position_event.v2,E09,P1,CON-018,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0081,0,Contracts,Implement protection_event.v2,E09,P1,CON-019,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0082,0,Contracts,"Audit, repair, and certify outcome.v2",E10,P1,CON-020,"Current behavior is reproduced, gap is closed to: Signed schema + invariant/golden/compatibility tests. Before/after evidence and rollback are attached.",Phase 0 inventory closure,NOT_STARTED
CHK-0083,0,Contracts,Implement trial_registration.v1,Governance,P1,CON-021,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0084,0,Contracts,Implement divergence_record.v1,Evidence,P1,CON-022,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0085,0,Contracts,Implement producer_lease.v1,Platform,P0,CON-023,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0086,0,Contracts,Implement engine_attestation.v1,Every producer,P1,CON-024,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0087,0,Contracts,Implement service_heartbeat.v1,Every producer,P1,CON-025,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0088,0,Contracts,Implement contract_bundle.manifest.v1,Contracts,P1,CON-026,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0089,0,Contracts,Implement activation_manifest.v1,Governance,P0,CON-027,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0090,0,Contracts,Implement compatibility_manifest.v1,Contracts,P1,CON-028,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0091,0,Contracts,Implement quarantine_record.v1,Boundary owner,P1,CON-029,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0092,0,Contracts,Implement replay_receipt.v1,Replay,P1,CON-030,Target exists as specified: Signed schema + invariant/golden/compatibility tests. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0093,0,Topics,Implement market.events.v2,E00,P0,TOP-001,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0094,0,Topics,Implement market.state.v2,E01,P0,TOP-002,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0095,0,Topics,Implement features.v2,ORIGIN/E02,P1,TOP-003,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0096,0,Topics,Implement structures.v2,ORIGIN,P1,TOP-004,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0097,0,Topics,Implement structure.lifecycle.v2,ORIGIN,P1,TOP-005,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0098,0,Topics,Implement edge.candidates.v2.control,Legacy bridge,P1,TOP-006,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0099,0,Topics,Implement edge.candidates.v2.treatment,ORIGIN,P0,TOP-007,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0100,0,Topics,Implement edge.divergence.v1,Comparator,P1,TOP-008,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0101,0,Topics,Implement edge.authority.v1,Authority router,P1,TOP-009,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0102,0,Topics,Implement decisions.v2,E07,P1,TOP-010,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0103,0,Topics,Implement risk.decisions.v2,E08,P0,TOP-011,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0104,0,Topics,Implement risk.reservations.v1,E08,P1,TOP-012,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0105,0,Topics,Implement execution.authorizations.v2,E08,P1,TOP-013,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0106,0,Topics,Implement execution.commands.v2,E09,P1,TOP-014,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0107,0,Topics,Implement execution.orders.v2,E09,P1,TOP-015,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0108,0,Topics,Implement execution.fills.v3,E09,P0,TOP-016,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0109,0,Topics,Implement venue.account.events.v2,VGP,P1,TOP-017,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0110,0,Topics,Implement positions.v2,Reconciler,P1,TOP-018,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0111,0,Topics,Implement protections.v2,Protection owner,P1,TOP-019,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0112,0,Topics,Implement outcomes.v2,E10,P1,TOP-020,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0113,0,Topics,Implement producer.leases.v1,Lease coordinator,P0,TOP-021,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
CHK-0114,0,Topics,Implement runtime.lifecycle.v2,Every service,P1,TOP-022,Target exists as specified: File-ledger binding first; optional certified JetStream binding. Automated contract/permission/behavior checks pass; owner and artifact/evidence reference are recorded.,Phase 0 inventory closure,NOT_STARTED
