id,layer,suite,criticality,gate,test,stimulus,required_result,evidence,initial_status
DT14,Inherited 224 falsification registry,Data & event time,P0,G1,Raw ledger immutability,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Re-reading the same raw partition yields identical bytes/hash and monotonic provenance.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
FE01,Inherited 224 falsification registry,Feature mathematics,P1,G2,ATR clean warm-up,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",ATR is null until the full clean window exists; restart does not use shorter implicit windows.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
FE02,Inherited 224 falsification registry,Feature mathematics,P1,G2,Trend retention invariance,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Trend does not change merely because buffer retention length changes.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
FE03,Inherited 224 falsification registry,Feature mathematics,P1,G2,Session boundary correctness,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","Session high/low resets on the declared session, not the retained-buffer extrema.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
FE04,Inherited 224 falsification registry,Feature mathematics,P1,G2,Causal swing confirmation,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Pivot/swing known-at time includes confirmation delay and never leaks future bars.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
FE05,Inherited 224 falsification registry,Feature mathematics,P1,G2,BOS definition quality,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","Break requires causal swing, minimum displacement and close quality; ancient levels expire.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
FE06,Inherited 224 falsification registry,Feature mathematics,P1,G2,CHoCH state transition,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","CHoCH is a dedicated prior-trend transition, not simply the last opposite BOS.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
FE07,Inherited 224 falsification registry,Feature mathematics,P1,G2,FVG quality,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Gap requires minimum normalized size/displacement and tracks first fill/mitigation causally.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
FE08,Inherited 224 falsification registry,Feature mathematics,P1,G2,Order-block causation,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Origin candle is tied to a qualified displacement/BOS and has age/mitigation state.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
FE09,Inherited 224 falsification registry,Feature mathematics,P1,G2,Equal-level total-span,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Transitive equal-level chains cannot drift beyond the configured total tolerance.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
FE10,Inherited 224 falsification registry,Feature mathematics,P1,G2,CVD notional normalization,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Flow uses quote notional or a documented normalized unit; scale metamorphism holds.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
FE11,Inherited 224 falsification registry,Feature mathematics,P1,G2,OI comparability,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",OI change is percent/z-scored by instrument; absolute contract scale cannot dominate.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
FE12,Inherited 224 falsification registry,Feature mathematics,P1,G2,Basis availability,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Parsed premium/basis reaches the feature contract or remains explicit null with reason.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
FE13,Inherited 224 falsification registry,Feature mathematics,P1,G2,LOB tick-distance geometry,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Depth windows include valid ticks for every LIVE symbol and scale across price levels.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
FE14,Inherited 224 falsification registry,Feature mathematics,P1,G2,Feature null dependency,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",A capsule cannot use a missing feature through an implicit neutral default.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M201,Inherited 224 falsification registry,M2 BOS / CHoCH,P1,G3,BOS and CHoCH split,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","Continuation and reversal have separate IDs, state machines, payoffs and attribution.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M202,Inherited 224 falsification registry,M2 BOS / CHoCH,P1,G3,First-break uniqueness,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","One causal level break produces one setup, not one setup per packet.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M203,Inherited 224 falsification registry,M2 BOS / CHoCH,P1,G3,Displacement ablation,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Body/range/ATR/volume displacement conjunct earns incremental untouched OOS net EV.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M204,Inherited 224 falsification registry,M2 BOS / CHoCH,P1,G3,Close-beyond-level robustness,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Wick-only and sub-tick breaks are rejected; tolerance is instrument-valid.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M205,Inherited 224 falsification registry,M2 BOS / CHoCH,P1,G3,Retest state machine,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Break → pullback → hold/entry order cannot skip or reorder states.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M206,Inherited 224 falsification registry,M2 BOS / CHoCH,P1,G3,First-retest rule,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Second and later touches are separated and cannot contaminate first-retest results.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M207,Inherited 224 falsification registry,M2 BOS / CHoCH,P1,G3,Age expiry,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Old structures cannot remain eligible beyond a registered causal horizon.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M208,Inherited 224 falsification registry,M2 BOS / CHoCH,P1,G3,Distance-from-mark gate,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Entry distance and stop geometry remain within executable/cost-valid bounds.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M209,Inherited 224 falsification registry,M2 BOS / CHoCH,P1,G3,Long beta control,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",M2 LONG beats matched random/time/symbol long entries and BTC/common-factor controls.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M210,Inherited 224 falsification registry,M2 BOS / CHoCH,P1,G3,Short measurement symmetry,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Inverted/SHORT measurement detects directional implementation asymmetry.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M211,Inherited 224 falsification registry,M2 BOS / CHoCH,P1,G3,Regime matrix enforcement,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",M2 eligibility exactly matches the boot-attested capsule×regime manifest.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M212,Inherited 224 falsification registry,M2 BOS / CHoCH,P1,G3,Flow conjunct timing,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Optional OFI/volume confirmation uses only events known before the decision.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M213,Inherited 224 falsification registry,M2 BOS / CHoCH,P1,G3,M2/M3 overlap attribution,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Same opportunity cluster cannot count as two independent trades.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M214,Inherited 224 falsification registry,M2 BOS / CHoCH,P1,G3,M2 payoff integrity,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Realized win/loss/payoff distribution matches the declared stop/target/timeout contract.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M301,Inherited 224 falsification registry,M3 order-block retest,P1,G3,Origin-candle identity,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",OB ID derives from symbol/timeframe/origin time/geometry and survives restart.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M302,Inherited 224 falsification registry,M3 order-block retest,P1,G3,Displacement causation,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",An OB exists only if subsequent qualified displacement causes the declared structure break.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M303,Inherited 224 falsification registry,M3 order-block retest,P1,G3,Body and wick quality,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Doji/noise candles fail unless their independent value is proven.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M304,Inherited 224 falsification registry,M3 order-block retest,P1,G3,Freshness and age,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Eligibility decays/expires by event time; old retained structures cannot rearm.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M305,Inherited 224 falsification registry,M3 order-block retest,P1,G3,Mitigation fraction,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Partial/full mitigation is tracked monotonically and filter-before-cap is enforced.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M306,Inherited 224 falsification registry,M3 order-block retest,P1,G3,First-touch separation,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","First, second and later retests are different cohorts.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M307,Inherited 224 falsification registry,M3 order-block retest,P1,G3,Compression context,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Pre-displacement compression is causal and earns incremental net EV if used.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M308,Inherited 224 falsification registry,M3 order-block retest,P1,G3,Zone width ceiling,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Final candidate stop respects hard geometry ceilings after all overrides.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M309,Inherited 224 falsification registry,M3 order-block retest,P1,G3,Entry location ablation,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Near edge/mid/deep-zone maker prices are compared with queue-aware fill economics.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M310,Inherited 224 falsification registry,M3 order-block retest,P1,G3,Invalidation semantics,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","Provisional stop, thesis invalidation and actual executor stop are one explicit contract.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M311,Inherited 224 falsification registry,M3 order-block retest,P1,G3,Target causality,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Structure targets existed at decision time and cannot be chosen from later bars.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M312,Inherited 224 falsification registry,M3 order-block retest,P1,G3,Regime eligibility,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",M3 is blocked outside its explicit matrix; no promotion bypass exists.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M313,Inherited 224 falsification registry,M3 order-block retest,P1,G3,M3/M2 incremental edge,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","M3 must improve leave-one-capsule-out portfolio EV, not duplicate M2.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
M314,Inherited 224 falsification registry,M3 order-block retest,P1,G3,Unchanged-zone suppression,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Repeated book triggers cannot create multiple OB campaigns.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
MS01,Inherited 224 falsification registry,Microstructure signals,P1,G3,Notional OFI horizons,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",OFI is computed at registered 100ms/1s/5s horizons and is scale invariant.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
MS02,Inherited 224 falsification registry,Microstructure signals,P1,G3,Trade flow direction,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Aggressor classification matches venue semantics and survives reconnect.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
MS03,Inherited 224 falsification registry,Microstructure signals,P1,G3,Queue-position model,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","Fill simulation uses queue ahead, cancellations, prints and latency—not touch alone.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
MS04,Inherited 224 falsification registry,Microstructure signals,P1,G3,Print-through quantity,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Partial trade quantity cannot fill an arbitrarily large maker order.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
MS05,Inherited 224 falsification registry,Microstructure signals,P1,G3,Maker adverse selection,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Measure 100ms/1s/5s post-fill markout by capsule/regime/symbol bucket.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
MS06,Inherited 224 falsification registry,Microstructure signals,P1,G3,Book spoof resilience,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Short-lived untraded depth cannot dominate signal without stability/print evidence.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
MS07,Inherited 224 falsification registry,Microstructure signals,P1,G3,Quote stuffing stress,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",High update rate preserves order and bounded latency without false OFI spikes.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
MS08,Inherited 224 falsification registry,Microstructure signals,P1,G3,Sweep depth minimum,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Sweep must exceed a positive tick/notional/volatility-normalized threshold.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
MS09,Inherited 224 falsification registry,Microstructure signals,P1,G3,Reclaim latency,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Reclaim clock uses event time and rejects stale post-sweep returns.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
MS10,Inherited 224 falsification registry,Microstructure signals,P1,G3,Liquidation source integrity,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Only supported WS liquidation data enters; missing stream is explicit degraded.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
MS11,Inherited 224 falsification registry,Microstructure signals,P1,G3,Cross-venue clock alignment,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Cross-venue features include measured skew and cannot use a later venue update early.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
MS12,Inherited 224 falsification registry,Microstructure signals,P1,G3,Microprice correctness,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","L2 microprice handles empty sides, crossed books and tick rounding fail-closed.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
MS13,Inherited 224 falsification registry,Microstructure signals,P1,G3,Low-liquidity capacity,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Expected maker size never exceeds depth/participation and minimum target economics.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
MS14,Inherited 224 falsification registry,Microstructure signals,P1,G3,Flow placebo,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Shuffled signs/timestamps destroy edge; surviving result triggers leakage investigation.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
RG01,Inherited 224 falsification registry,Regime & eligibility,P1,G3,Trend dimension,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Trend state is independent of volatility label and restart-stable.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
RG02,Inherited 224 falsification registry,Regime & eligibility,P1,G3,Volatility dimension,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Vol state uses multi-horizon causal inputs and explicit jump handling.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
RG03,Inherited 224 falsification registry,Regime & eligibility,P1,G3,Liquidity dimension,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Spread/depth/tape capacity uses tick-aware instrument metadata.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
RG04,Inherited 224 falsification registry,Regime & eligibility,P1,G3,Toxicity dimension,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","Adverse selection/book instability affects eligibility, not just post-hoc reports.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
RG05,Inherited 224 falsification registry,Regime & eligibility,P1,G3,Hysteresis,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Boundary noise cannot flip state every packet; entry/exit thresholds are asymmetric.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
RG06,Inherited 224 falsification registry,Regime & eligibility,P1,G3,Minimum dwell,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Regime must persist for a registered event-time duration before money eligibility changes.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
RG07,Inherited 224 falsification registry,Regime & eligibility,P1,G3,Extreme halt,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Every capsule is blocked in extreme/halt state with a tested recovery rule.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
RG08,Inherited 224 falsification registry,Regime & eligibility,P1,G3,Capsule matrix authority,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.","One generated manifest controls docs, boot attestation and runtime gate.",Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
RG09,Inherited 224 falsification registry,Regime & eligibility,P1,G3,Size multiplier wiring,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Any regime sizing factor is applied before the final risk cap and visible in attribution.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
RG10,Inherited 224 falsification registry,Regime & eligibility,P1,G3,Unknown regime fail-close,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Missing inputs never map to NORMAL by default.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
RG11,Inherited 224 falsification registry,Regime & eligibility,P1,G3,Transition attribution,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Outcomes are segmented by decision regime and transition state without hindsight relabeling.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
RG12,Inherited 224 falsification registry,Regime & eligibility,P1,G3,Regime ablation,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Each regime gate improves untouched net EV or risk-adjusted utility versus no gate.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
RG13,Inherited 224 falsification registry,Regime & eligibility,P1,G3,Sparse-cell shrinkage,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Low-count symbol/regime cells borrow strength; no unstable raw mean promotion.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
RG14,Inherited 224 falsification registry,Regime & eligibility,P1,G3,Regime drift,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Population and calibration drift trigger demotion before threshold retuning.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
UN01,Inherited 224 falsification registry,Universe & fairness,P1,G4,LIVE30 manifest,"Run the named adversarial/golden/property scenario against the pinned input, build, manifest and state.",Exactly the intended 30 capable symbols are boot-attested; positions remain separately capped.,Machine-readable result + logs/fixtures/output hashes + owner/reviewer signature,NOT_RUN
